group,repo,stars,fork_of,has_python_config,external,reason
descent,fjclark/des-lj-fitting,0,,False,False,duplicate
descent,lilyminium/2026-polymers,0,,False,False,self
descent,openforcefield/back-to-school-jen,2,,False,False,self
descent,SimonBoothroyd/descent-ff,5,,False,False,duplicate
openff-qcsubmit,asapdiscovery/asapdiscovery,50,,True,False,duplicate
openff-qcsubmit,bismuthadams1/ActiveLearningSandbox,0,,True,False,duplicate
openff-qcsubmit,bismuthadams1/charge_paper,0,,False,False,duplicate
openff-qcsubmit,choderalab/create-rna-nucleoside-dataset,0,,False,False,duplicate
openff-qcsubmit,choderalab/geometry-benchmark-espaloma,0,,False,False,duplicate
openff-qcsubmit,cole-group/presto-benchmarking,0,,True,False,duplicate
openff-qcsubmit,conda-forge/openff-qcsubmit-feedstock,0,,False,False,meta
openff-qcsubmit,dellacortelab/trip,8,,False,True,
openff-qcsubmit,finlayiainmaclean/opensqm,0,,True,False,duplicate
openff-qcsubmit,fjclark/descent-workflow,0,,True,False,duplicate
openff-qcsubmit,greener-group/garnet,10,,True,False,duplicate
openff-qcsubmit,JHoeflich1/OpenFFLipid,0,,False,False,duplicate
openff-qcsubmit,jthorton/BespokeFit-PLB,1,,False,False,duplicate
openff-qcsubmit,jthorton/double-exp-vdw,4,,False,False,duplicate
openff-qcsubmit,lilyminium/2026-polymers,0,,False,False,self
openff-qcsubmit,lilyminium/ash-sage-rc1,0,,False,False,self
openff-qcsubmit,lilyminium/compare-cresset-torsions,0,,False,False,self
openff-qcsubmit,lilyminium/fit-virtual-sites,0,,False,False,self
openff-qcsubmit,lilyminium/openff-strike-team,0,,False,False,self
openff-qcsubmit,lilyminium/profile-qc-data,0,,True,False,self
openff-qcsubmit,lilyminium/protein-ff-fits,0,,False,False,self
openff-qcsubmit,lilyminium/qca-datasets-report,0,,False,False,self
openff-qcsubmit,lilyminium/sage-2.2.0-looser-msm,0,,False,False,self
openff-qcsubmit,lilyminium/sage-2.2.2-looser-msm,0,,False,False,self
openff-qcsubmit,lilyminium/sage-2.3.0-nagl,0,,False,False,self
openff-qcsubmit,lilyminium/scrapbook-projects,0,,False,False,self
openff-qcsubmit,lilyminium/valence-fitting,0,,False,False,self
openff-qcsubmit,MobleyLab/fitting-exp,1,,False,False,duplicate
openff-qcsubmit,MolecularAI/maize-contrib,23,,True,False,duplicate
openff-qcsubmit,ntBre/benchmarking,1,,False,False,self
openff-qcsubmit,ntBre/chembl-search,0,,False,False,self
openff-qcsubmit,ntBre/coprelos,0,,False,False,self
openff-qcsubmit,ntBre/cura,0,,False,False,self
openff-qcsubmit,ntBre/fast-filter,0,,False,False,self
openff-qcsubmit,ntBre/fench,0,,False,False,self
openff-qcsubmit,ntBre/garage-door,0,,False,False,self
openff-qcsubmit,ntBre/lipoma,5,,False,False,self
openff-qcsubmit,ntBre/openff-benchmarks,0,,False,False,self
openff-qcsubmit,ntBre/openff-toolkit,1,,False,False,self
openff-qcsubmit,ntBre/vflib,1,,True,False,self
openff-qcsubmit,omsf/joint-demo,6,,False,False,duplicate
openff-qcsubmit,omsf/OpenPharmMDFlow,0,,True,False,duplicate
openff-qcsubmit,OpenDrugDiscovery/openQMComputations,0,,True,False,duplicate
openff-qcsubmit,openforcefield/2023-workshop-vignettes,4,,False,False,self
openff-qcsubmit,openforcefield/2026-virtual-workshops,5,,False,False,self
openff-qcsubmit,openforcefield/anything-goes,11,,False,False,self
openff-qcsubmit,openforcefield/ash-sage-rc2,2,,False,False,self
openff-qcsubmit,openforcefield/back-to-school-ashley,0,,False,False,self
openff-qcsubmit,openforcefield/back-to-school-jen,2,,False,False,self
openff-qcsubmit,openforcefield/besmarts-smee-refit,0,,False,False,self
openff-qcsubmit,openforcefield/openff-benchmark,9,,True,False,self
openff-qcsubmit,openforcefield/openff-bespokefit,79,,True,False,self
openff-qcsubmit,openforcefield/openff-docs,0,,False,False,self
openff-qcsubmit,openforcefield/openff-nagl,23,,True,False,self
openff-qcsubmit,openforcefield/openff-qcsubmit,26,,True,False,self
openff-qcsubmit,openforcefield/openff-sage,23,,False,False,self
openff-qcsubmit,openforcefield/openff-sphinx-theme,3,,True,False,self
openff-qcsubmit,openforcefield/protein-param-fit,3,,False,False,self
openff-qcsubmit,openforcefield/qca-dataset-submission,36,,False,False,self
openff-qcsubmit,openforcefield/qca-dataset-submission-next-test,1,,False,False,self
openff-qcsubmit,openforcefield/rdkit_ugm_2024_demo,3,,False,False,self
openff-qcsubmit,openforcefield/rdkit_ugm_2025_demo,4,,False,False,self
openff-qcsubmit,openforcefield/sage-2.1.0,0,,False,False,self
openff-qcsubmit,openforcefield/sage-2.2.0,2,,False,False,self
openff-qcsubmit,openforcefield/sage-2.2.1,1,,False,False,self
openff-qcsubmit,openforcefield/sage-2.3.0,0,,False,False,self
openff-qcsubmit,openforcefield/symposium_2024_demo,2,,False,False,self
openff-qcsubmit,openforcefield/yammbs,7,,True,False,self
openff-qcsubmit,openforcefield/yammbs-dataset-submission,2,,False,False,self
openff-qcsubmit,pavankum/mlip_optimizer,0,,True,False,duplicate
openff-qcsubmit,QuaidAlchemy/quaid,2,,True,False,duplicate
openff-qcsubmit,SimonBoothroyd/gnn-charge-models,3,,False,False,duplicate
openff-qcsubmit,Yoshanuikabundi/openff-binder,0,,False,False,self
openff-toolkit,0ut0fcontrol/test_openff,0,,False,True,
openff-toolkit,aai-research-lab/FastMDSimulation,29,,True,True,
openff-toolkit,aai-research-lab/FastMDXplora,115,,True,True,
openff-toolkit,AaronXu9/PoseBench,0,,True,True,
openff-toolkit,Aaryan-Patel2/KinetiDiff,1,,True,True,
openff-toolkit,abdulahadabro/Computer-aided-drug-discovery-Kit,0,,False,True,
openff-toolkit,Acellera/aceff_examples,4,,False,True,
openff-toolkit,Acellera/htmd,274,,True,True,
openff-toolkit,Acellera/moleculekit,237,,True,True,
openff-toolkit,ACoraor/OpenMM-Tools,0,,False,True,
openff-toolkit,adamlaho/AMLP,39,,True,True,
openff-toolkit,Adi0521/ProPredict,1,,False,True,
openff-toolkit,AIB001/PRISM,28,,True,True,
openff-toolkit,aiscihub/valleyfeverresearch,0,,False,True,
openff-toolkit,ajfriedman22/PTP1B,0,,False,True,
openff-toolkit,ajfriedman22/SM_ConfGen,2,,True,True,
openff-toolkit,ale94mleon/BindFlow,166,,True,True,
openff-toolkit,ale94mleon/TOFF,1,,True,True,
openff-toolkit,alex-hh/in-silico-pgdh,0,,False,True,
openff-toolkit,Alexey-Lukin/silken_net,19,,False,True,
openff-toolkit,alexisiddiqui/JAX-ENT,2,,True,True,
openff-toolkit,amcisaac/geom_dash,0,,False,True,
openff-toolkit,Ameki0/ResFF,9,,False,True,
openff-toolkit,amritashah/COBB-2035-Modern-Methods-in-Structure-Based-Drug-Discovery,1,,False,True,
openff-toolkit,amruthaB-Git/Teach-Open-Cadd_PAK1,0,,True,True,
openff-toolkit,amulyagarimella/fast-sequencing-AI-imputation,1,,False,True,
openff-toolkit,anandojha/qmmmrebind,6,,True,True,
