repo,url,status,notes
fjclark/des-lj-fitting,https://github.com/fjclark/des-lj-fitting,auto,descent in environment.yaml
lilyminium/2026-polymers,https://github.com/lilyminium/2026-polymers,auto,descent in environment.yaml
openforcefield/back-to-school-jen,https://github.com/openforcefield/back-to-school-jen,auto,descent in environment.yaml
SimonBoothroyd/descent-ff,https://github.com/SimonBoothroyd/descent-ff,auto,descent in environment.yml
00dylan00/scGPT_playground,https://github.com/00dylan00/scGPT_playground,exclude,no dependency or import evidence
0like2/masld-xenium,https://github.com/0like2/masld-xenium,exclude,no dependency or import evidence
0xyangl/CVPRLLMDet,https://github.com/0xyangl/CVPRLLMDet,exclude,no dependency or import evidence
1062638515/spavelo,https://github.com/1062638515/spavelo,exclude,no dependency or import evidence
108anup/NetMon-query-planner,https://github.com/108anup/NetMon-query-planner,exclude,no dependency or import evidence
10XGenomics/janesick_nature_comms_2023_companion,https://github.com/10XGenomics/janesick_nature_comms_2023_companion,exclude,no dependency or import evidence
123sprouting/MFON,https://github.com/123sprouting/MFON,exclude,no dependency or import evidence
15679420057/111,https://github.com/15679420057/111,exclude,no dependency or import evidence
1579364808/MFON-main,https://github.com/1579364808/MFON-main,exclude,no dependency or import evidence
19PWoods/PhD-Titus,https://github.com/19PWoods/PhD-Titus,exclude,no dependency or import evidence
1alnoman/ScribbleDom,https://github.com/1alnoman/ScribbleDom,exclude,no dependency or import evidence
2017215214/GraphRAG-Reproduction-Attempt,https://github.com/2017215214/GraphRAG-Reproduction-Attempt,exclude,no dependency or import evidence
202324131016T/DANet,https://github.com/202324131016T/DANet,exclude,no dependency or import evidence
220v-K/nlp2025-1_GPT2,https://github.com/220v-K/nlp2025-1_GPT2,exclude,no dependency or import evidence
23AIBox/DualGPT-AB,https://github.com/23AIBox/DualGPT-AB,exclude,no dependency or import evidence
28andrew/GraphCPA,https://github.com/28andrew/GraphCPA,exclude,no dependency or import evidence
3clyp50/MedVersa_Internal,https://github.com/3clyp50/MedVersa_Internal,exclude,no dependency or import evidence
404-ammar-not-found/Twitter-Emotion-Recognition-with-NLP,https://github.com/404-ammar-not-found/Twitter-Emotion-Recognition-with-NLP,exclude,no dependency or import evidence
444thLiao/pangenome_workflow,https://github.com/444thLiao/pangenome_workflow,exclude,no dependency or import evidence
535A59/COMP0078_cw1,https://github.com/535A59/COMP0078_cw1,exclude,no dependency or import evidence
99ninew/ReMindAR,https://github.com/99ninew/ReMindAR,exclude,no dependency or import evidence
9las/masters_thesis,https://github.com/9las/masters_thesis,exclude,no dependency or import evidence
A00476491/MCDA5511_Assignment1,https://github.com/A00476491/MCDA5511_Assignment1,exclude,no dependency or import evidence
aaaaas811/ESPas812,https://github.com/aaaaas811/ESPas812,exclude,no dependency or import evidence
aaivu/In21-S7-CS4681-AML-Research-Projects,https://github.com/aaivu/In21-S7-CS4681-AML-Research-Projects,exclude,no dependency or import evidence
aaivu/wavCSE,https://github.com/aaivu/wavCSE,exclude,no dependency or import evidence
aalto-speech/PPG2Speech,https://github.com/aalto-speech/PPG2Speech,exclude,no dependency or import evidence
AaltoSciComp/jupyter-aalto-singleuser,https://github.com/AaltoSciComp/jupyter-aalto-singleuser,exclude,no dependency or import evidence
aaniksahaa/iterative-scribbledom-backend,https://github.com/aaniksahaa/iterative-scribbledom-backend,exclude,no dependency or import evidence
aanya-v/tweetynettrying,https://github.com/aanya-v/tweetynettrying,exclude,no dependency or import evidence
aarashfeizi/gps-ssl,https://github.com/aarashfeizi/gps-ssl,exclude,no dependency or import evidence
AaravG42/Profile_Encoder,https://github.com/AaravG42/Profile_Encoder,exclude,no dependency or import evidence
aaronwtr/PertEval,https://github.com/aaronwtr/PertEval,exclude,no dependency or import evidence
aashnasheth/quality-filtering,https://github.com/aashnasheth/quality-filtering,exclude,no dependency or import evidence
abdelfattah-lab/nasflat_latency,https://github.com/abdelfattah-lab/nasflat_latency,exclude,no dependency or import evidence
abdo-aary/quack-tsf,https://github.com/abdo-aary/quack-tsf,exclude,no dependency or import evidence
ABexit/ASR-LLM-TTS,https://github.com/ABexit/ASR-LLM-TTS,exclude,no dependency or import evidence
abhijith183/my-jb-experiments,https://github.com/abhijith183/my-jb-experiments,exclude,no dependency or import evidence
abhinavuser/image-segmentation,https://github.com/abhinavuser/image-segmentation,exclude,no dependency or import evidence
AbigailMcGovern/annotrack,https://github.com/AbigailMcGovern/annotrack,exclude,no dependency or import evidence
ABILiLab/kinhibit,https://github.com/ABILiLab/kinhibit,exclude,no dependency or import evidence
abitofalchemy/Scriptus,https://github.com/abitofalchemy/Scriptus,exclude,no dependency or import evidence
abreidenstein/OCFproject,https://github.com/abreidenstein/OCFproject,exclude,no dependency or import evidence
abuchin/tahoe-100m,https://github.com/abuchin/tahoe-100m,exclude,no dependency or import evidence
adajnq/bioimage-analysis-course,https://github.com/adajnq/bioimage-analysis-course,exclude,no dependency or import evidence
adamcohenlab/Jia2023FirstHeartbeat,https://github.com/adamcohenlab/Jia2023FirstHeartbeat,exclude,no dependency or import evidence
adamdejl/hidden-conflicts,https://github.com/adamdejl/hidden-conflicts,exclude,no dependency or import evidence
adeshgaurav19/Projects,https://github.com/adeshgaurav19/Projects,exclude,no dependency or import evidence
adibMosharrof/latin,https://github.com/adibMosharrof/latin,exclude,no dependency or import evidence
adiezsanchez/bf_intorg_YOLOv8_dev,https://github.com/adiezsanchez/bf_intorg_YOLOv8_dev,exclude,no dependency or import evidence
adiezsanchez/microglia_dna_damage,https://github.com/adiezsanchez/microglia_dna_damage,exclude,no dependency or import evidence
AdinaScheinfeld/lsm_fm_public_repo,https://github.com/AdinaScheinfeld/lsm_fm_public_repo,exclude,no dependency or import evidence
adler-sudo/atac-seq-analysis,https://github.com/adler-sudo/atac-seq-analysis,exclude,no dependency or import evidence
adpartin/viral-segmatch,https://github.com/adpartin/viral-segmatch,exclude,no dependency or import evidence
AdrianArnaiz/StructuralGroupUnfairness,https://github.com/AdrianArnaiz/StructuralGroupUnfairness,exclude,no dependency or import evidence
afmjoaa/NoobRAG,https://github.com/afmjoaa/NoobRAG,exclude,no dependency or import evidence
AfzalHossan-2005021/SPaSE-Morph,https://github.com/AfzalHossan-2005021/SPaSE-Morph,exclude,no dependency or import evidence
AfzalHossan-2005021/Visium-Image-Preprocessor,https://github.com/AfzalHossan-2005021/Visium-Image-Preprocessor,exclude,no dependency or import evidence
AG-Peter/Clustering_Networks,https://github.com/AG-Peter/Clustering_Networks,exclude,no dependency or import evidence
agc888/goatpy,https://github.com/agc888/goatpy,exclude,no dependency or import evidence
ahadjawaid/tts-0,https://github.com/ahadjawaid/tts-0,exclude,no dependency or import evidence
ahubler01/ml_group_project,https://github.com/ahubler01/ml_group_project,exclude,no dependency or import evidence
AI4M-Berlin/Diabetes,https://github.com/AI4M-Berlin/Diabetes,exclude,no dependency or import evidence
ai4nucleome/SPAMO,https://github.com/ai4nucleome/SPAMO,exclude,no dependency or import evidence
AI4VirtualCell/scPert,https://github.com/AI4VirtualCell/scPert,exclude,no dependency or import evidence
Aibiles/Soft2025-B4,https://github.com/Aibiles/Soft2025-B4,exclude,no dependency or import evidence
aieng-lab/llm-voicechat-demo,https://github.com/aieng-lab/llm-voicechat-demo,exclude,no dependency or import evidence
aikedaerC/AttackVisionFoundationModels,https://github.com/aikedaerC/AttackVisionFoundationModels,exclude,no dependency or import evidence
aimclub/eXplain-NNs,https://github.com/aimclub/eXplain-NNs,exclude,no dependency or import evidence
AIRMEC/HECTOR,https://github.com/AIRMEC/HECTOR,exclude,no dependency or import evidence
AIStats-GmGM/GmGM,https://github.com/AIStats-GmGM/GmGM,exclude,no dependency or import evidence
ajandria/workflows-scrna,https://github.com/ajandria/workflows-scrna,exclude,no dependency or import evidence
ajay-naidu-96/Conditional-Diffusions,https://github.com/ajay-naidu-96/Conditional-Diffusions,exclude,no dependency or import evidence
ajayago/GANDALF,https://github.com/ajayago/GANDALF,exclude,no dependency or import evidence
ajayago/NCMF_bioinformatics,https://github.com/ajayago/NCMF_bioinformatics,exclude,no dependency or import evidence
ajbarrows/spiteful-allegory,https://github.com/ajbarrows/spiteful-allegory,exclude,no dependency or import evidence
Ajkunas/DL-Biomed-Relational,https://github.com/Ajkunas/DL-Biomed-Relational,exclude,no dependency or import evidence
Akashkharita/Kharita_et_al_2024_Icequakes,https://github.com/Akashkharita/Kharita_et_al_2024_Icequakes,exclude,no dependency or import evidence
akashsonowal/indic-fishspeech,https://github.com/akashsonowal/indic-fishspeech,exclude,no dependency or import evidence
akiviaho/ST-prostate,https://github.com/akiviaho/ST-prostate,exclude,no dependency or import evidence
akshay-sajann/computer_ontology,https://github.com/akshay-sajann/computer_ontology,exclude,no dependency or import evidence
