repo,url,status,notes
asapdiscovery/asapdiscovery,https://github.com/asapdiscovery/asapdiscovery,auto,import in asapdiscovery-alchemy/asapdiscovery/alchemy/cli/bespoke.py
bismuthadams1/ActiveLearningSandbox,https://github.com/bismuthadams1/ActiveLearningSandbox,auto,import in activelearner/run_calculations/prepare_xtb_reorg_dataset.py
bismuthadams1/charge_paper,https://github.com/bismuthadams1/charge_paper,auto,import in benchmark_wf_analysis/qc_archive_run/make_functionals.py
choderalab/create-rna-nucleoside-dataset,https://github.com/choderalab/create-rna-nucleoside-dataset,auto,import in qca-dataset-submission-test/generate-dataset.ipynb (notebook)
choderalab/geometry-benchmark-espaloma,https://github.com/choderalab/geometry-benchmark-espaloma,auto,import in qc-opt-geo/espaloma-0.3.0rc1-pavan/01-setup.py
cole-group/presto-benchmarking,https://github.com/cole-group/presto-benchmarking,auto,openff-qcsubmit in pyproject.toml
conda-forge/openff-qcsubmit-feedstock,https://github.com/conda-forge/openff-qcsubmit-feedstock,auto,import in recipe/test_version_nonzero.py
dellacortelab/trip,https://github.com/dellacortelab/trip,auto,import in trip/tools/torsion_benchmark.py
finlayiainmaclean/opensqm,https://github.com/finlayiainmaclean/opensqm,auto,import in opensqm/md/bespokefit.py
fjclark/descent-workflow,https://github.com/fjclark/descent-workflow,auto,openff-qcsubmit in pyproject.toml
greener-group/garnet,https://github.com/greener-group/garnet,auto,import in validation/benchmarks/main.py
JHoeflich1/OpenFFLipid,https://github.com/JHoeflich1/OpenFFLipid,auto,import in BuildaFF/buildMolDataset.py
jthorton/BespokeFit-PLB,https://github.com/jthorton/BespokeFit-PLB,auto,import in inputs/scripts/create_bespoke_workflow.py
jthorton/double-exp-vdw,https://github.com/jthorton/double-exp-vdw,auto,import in data-set-curation/quantum-chemical/Dataset-curation-FB-input-creation-notebook.ipynb (notebook)
lilyminium/2026-polymers,https://github.com/lilyminium/2026-polymers,auto,openff-qcsubmit in pixi.toml
lilyminium/ash-sage-rc1,https://github.com/lilyminium/ash-sage-rc1,auto,import in 01_download-data/qm/download-hessian-data.py
lilyminium/compare-cresset-torsions,https://github.com/lilyminium/compare-cresset-torsions,auto,import in valence-fits/02_curate-data/combine-td-datasets.py
lilyminium/fit-virtual-sites,https://github.com/lilyminium/fit-virtual-sites,auto,import in 01_curate-data/01_esps/download-esp-records.py
