,pkg_name,time,counts,year
0,openff-forcefields,2021-01,1665,2021
1,openff-forcefields,2021-02,4671,2021
2,openff-forcefields,2021-03,5269,2021
3,openff-forcefields,2021-04,6058,2021
4,openff-forcefields,2021-05,6889,2021
5,openff-forcefields,2021-06,7588,2021
6,openff-forcefields,2021-07,7147,2021
7,openff-forcefields,2021-08,8341,2021
8,openff-forcefields,2021-09,7388,2021
9,openff-forcefields,2021-10,6635,2021
10,openff-forcefields,2021-11,9523,2021
11,openff-forcefields,2021-12,7465,2021
12,openff-forcefields,2022-01,6957,2022
13,openff-forcefields,2022-02,7632,2022
14,openff-forcefields,2022-03,12592,2022
15,openff-forcefields,2022-04,12244,2022
16,openff-forcefields,2022-05,10770,2022
17,openff-forcefields,2022-06,11296,2022
18,openff-forcefields,2022-07,11561,2022
19,openff-forcefields,2022-08,14478,2022
20,openff-forcefields,2022-09,12211,2022
21,openff-forcefields,2022-10,11983,2022
22,openff-forcefields,2022-11,12988,2022
23,openff-forcefields,2022-12,12305,2022
24,openff-forcefields,2023-01,12825,2023
25,openff-forcefields,2023-02,14924,2023
26,openff-forcefields,2023-03,450,2023
27,openff-forcefields,2023-04,530,2023
28,openff-forcefields,2023-05,796,2023
29,openff-forcefields,2023-06,874,2023
